"TaxonKey","Country_Territory","Neighbor_Territory","Model_Index","Area_Index","CT_fishing_entity","NT_fishing_entity","n()","Same_Nation"
600006,"Ecuador","Peru",100,0.841379310344828,"Ecuador","Peru",2,"No"
600006,"Ecuador","Colombia (Pacific)",100,0.714285714285714,"Ecuador","Colombia",2,"No"
600006,"Egypt (Mediterranean)","Cyprus (South)",100,0.457831325301205,"Egypt","Cyprus (South)",NA,"No"
600006,"Egypt (Mediterranean)","Gaza Strip",100,0.0816326530612245,"Egypt","Gaza Strip",2,"No"
600006,"Egypt (Mediterranean)","Greece",100,0.338235294117647,"Egypt","Greece",1,"No"
600006,"Egypt (Mediterranean)","Libya",100,0.795454545454545,"Egypt","Libya",2,"No"
600006,"Egypt (Mediterranean)","Crete (Greece)",100,0.23728813559322,"Egypt","Crete (Greece)",NA,"No"
600006,"Egypt (Mediterranean)","Israel (Mediterranean)",100,0.274193548387097,"Egypt","Israel",2,"No"
600006,"El Salvador","Honduras (Pacific)",100,0.0232558139534884,"El Salvador","Honduras",2,"No"
600006,"El Salvador","Guatemala (Pacific)",100,0.571428571428571,"El Salvador","Guatemala",2,"No"
600006,"El Salvador","Nicaragua (Pacific)",100,0.373134328358209,"El Salvador","Nicaragua",2,"No"
600006,"Equatorial Guinea","Cameroon",100,0.25,"Equatorial Guinea","Cameroon",2,"No"
600006,"Equatorial Guinea","Gabon",100,0.181818181818182,"Equatorial Guinea","Gabon",2,"No"
600006,"Equatorial Guinea","Nigeria",100,0.1,"Equatorial Guinea","Nigeria",2,"No"
600006,"Equatorial Guinea","Sao Tome & Principe",100,0.28,"Equatorial Guinea","Sao Tome & Principe",2,"No"
600006,"Fiji","Solomon Isl.",100,0.546028880866426,"Fiji","Solomon Isl.",2,"No"
600006,"Fiji","New Caledonia (France)",100,0.528584817244611,"Fiji","New Caledonia (France)",2,"No"
600006,"Fiji","Vanuatu",100,0.403321470937129,"Fiji","Vanuatu",2,"No"
