TaxonKey,TaxonName,DemPel
601371,Hippoglossus hippoglossus,Demersal
601381,Melanogrammus aeglefinus,Demersal
601382,Microstomus kitt,Demersal
601383,Molva dypterygia,Demersal
601407,Lutjanus argentimaculatus,Demersal
601408,Lutjanus argentiventris,Demersal
601417,Lutjanus bohar,Demersal
601423,Lutjanus campechanus,Demersal
601452,Chirocentrus nudus,Pelagic
601453,Dussumieria acuta,Pelagic
601454,Dussumieria elopsoides,Pelagic
601455,Etrumeus teres,Pelagic
601456,Etrumeus whiteheadi,Pelagic
601458,Spratelloides gracilis,Pelagic
601466,Sprattus fuegensis,Pelagic
601470,Clupeonella cultriventris,Pelagic
601477,Sardinops sagax,Pelagic
601484,Opisthonema libertate,Pelagic
601486,Opisthonema oglinum,Pelagic
601494,Herklotsichthys quadrimaculatus,Pelagic
601505,Sardinella brasiliensis,Pelagic
601507,Sardinella fimbriata,Pelagic
601508,Sardinella gibbosa,Pelagic
601510,Sardinella lemuru,Pelagic
601511,Sardinella longiceps,Pelagic
601519,Sardinella zunasi,Pelagic
601520,Clupea pallasii,Pelagic
601530,Strangomera bentincki,Pelagic
601574,Alosa aestivalis,Pelagic
601582,Alosa mediocris,Pelagic
601583,Alosa pseudoharengus,Pelagic
601584,Alosa sapidissima,Pelagic
601587,Brevoortia aurea,Pelagic
601589,Brevoortia patronus,Pelagic
601590,Brevoortia pectinata,Pelagic
601592,Brevoortia tyrannus,Pelagic
601593,Ethmidium maculatum,Pelagic
601594,Ethmalosa fimbriata,Pelagic
601595,Hilsa kelee,Pelagic
601596,Tenualosa ilisha,Pelagic
601600,Tenualosa toli,Pelagic
601604,Dorosoma cepedianum,Pelagic
601608,Clupanodon thrissa,Pelagic
601609,Konosirus punctatus,Pelagic
601616,Nematalosa nasus,Pelagic
601619,Anodontostoma chacunda,Pelagic
601625,Ilisha africana,Pelagic
601627,Ilisha elongata,Pelagic
601641,Pellona ditchela,Pelagic
601659,Engraulis anchoita,Pelagic
601661,Engraulis capensis,Pelagic
601663,Engraulis japonicus,Pelagic
601664,Engraulis mordax,Pelagic
601692,Anthias anthias,Demersal
601696,Atherina boyeri,Demersal
601706,Chromis chromis,Demersal
601707,Sciaena umbra,Demersal
601722,Lepidotrigla cavillone,Demersal
601729,Muraena helena,Demersal
601730,Gymnothorax unicolor,Demersal
601732,Mola mola,Pelagic
601734,Mora moro,Pelagic
601735,Liza aurata,Pelagic
601736,Liza saliens,Demersal
601747,Phycis phycis,Demersal
601749,Diplodus puntazzo,Demersal
601752,Diplodus annularis,Demersal
601753,Diplodus sargus,Demersal
601754,Diplodus vulgaris,Demersal
601756,Pagrus pagrus,Demersal
601758,Scorpaena porcus,Demersal
601759,Scorpaena scrofa,Demersal
601773,Trachinotus ovatus,Pelagic
601800,Acanthurus monroviae,Demersal
601825,Macruronus novaezelandiae,Demersal
601826,Merluccius paradoxus,Demersal
601827,Merluccius angustimanus,Demersal
601828,Merluccius capensis,Demersal
601843,Lethrinus mahsena,Demersal
601844,Lethrinus borbonicus,Demersal
601845,Lethrinus microdon,Demersal
601846,Lethrinus nebulosus,Demersal
601847,Lethrinus obsoletus,Demersal
601851,Lethrinus harak,Demersal
601852,Lethrinus xanthochilus,Demersal
601863,Lethrinus lentjan,Demersal
601867,Lethrinus atlanticus,Demersal
601869,Monotaxis grandoculis,Demersal
601874,Enchelyopus cimbrius,Demersal
601879,Microgadus proximus,Demersal
601888,Alectis alexandrinus,Pelagic
601889,Alepes djedaba,Demersal
601893,Atule mate,Demersal
601895,Caranx ignobilis,Demersal
601899,Caranx rhonchus,Demersal
601906,Caranx melampygus,Pelagic
601917,Caranx sexfasciatus,Pelagic
601918,Carangoides ruber,Demersal
601923,Carangoides bajad,Pelagic
601926,Carangoides fulvoguttatus,Pelagic
601933,Caranx crysos,Pelagic
601937,Chloroscombrus orqueta,Demersal
601939,Decapterus maruadsi,Pelagic
601947,Parastromateus niger,Demersal
601950,Scomberoides commersonnianus,Demersal
601951,Scomberoides lysan,Pelagic
601953,Scomberoides tol,Pelagic
601962,Seriolina nigrofasciata,Demersal
601963,Trachinotus blochii,Demersal
601964,Trachinotus mookalee,Demersal
602005,Antimora rostrata,Pelagic
602012,Halargyreus johnsonii,Demersal
602014,Laemonema longipes,Demersal
602020,Pseudophycis bachus,Demersal
602023,Tripterophycis gilchristi,Demersal
602058,Dipturus batis,Demersal
602059,Raja clavata,Demersal
602060,Dasyatis pastinaca,Demersal
602065,Acipenser stellatus,Demersal
602066,Acipenser sturio,Demersal
602067,Huso huso,Demersal
602420,Gasterosteus aculeatus,Demersal
602497,Diplodus cervinus,Demersal
602498,Kyphosus sectatrix,Demersal
602499,Chelon labrosus,Demersal
602500,Thalassoma pavo,Demersal
602501,Anarhichas lupus,Demersal
602503,Chimaera monstrosa,Demersal
602508,Epigonus telescopus,Demersal
602513,Myxine glutinosa,Demersal
602530,Petromyzon marinus,Demersal
602531,Notorynchus cepedianus,Demersal
602532,Ginglymostoma cirratum,Demersal
602534,Alopias superciliosus,Demersal
602535,Alopias vulpinus,Demersal
602539,Mustelus canis,Demersal
602540,Mustelus henlei,Demersal
602544,Somniosus pacificus,Demersal
602557,Leucoraja erinacea,Demersal
602561,Dipturus laevis,Demersal
602570,Raja stellulata,Demersal
602572,Dasyatis centroura,Demersal
602577,Gymnura altavela,Demersal
602589,Hydrolagus colliei,Demersal
602592,Acipenser medirostris,Demersal
602594,Acipenser transmontanus,Demersal
602700,Argentina silus,Demersal
603255,Zenopsis nebulosus,Demersal
603267,Regalecus glesne,Pelagic
603275,Fistularia tabacaria,Demersal
603310,Stereolepis gigas,Demersal
603334,Mycteroperca xenarcha,Demersal
603539,Caulolatilus princeps,Demersal
603542,Rachycentron canadum,Pelagic
603574,Diplodus argenteus,Demersal
603578,Atractoscion nobilis,Demersal
603594,Girella nigricans,Demersal
603611,Pseudopentaceros richardsoni,Pelagic
603671,Semicossyphus pulcher,Demersal
603672,Tautogolabrus adspersus,Demersal
603810,Anarhichas denticulatus,Demersal
603811,Anarhichas minor,Demersal
603915,Tetrapturus angustirostris,Pelagic
603920,Hyperoglyphe bythites,Pelagic
603923,Peprilus alepidotus,Demersal
603971,Sebastes goodei,Demersal
603979,Sebastes melanops,Demersal
603987,Sebastes paucispinis,Demersal
603989,Sebastes pinniger,Demersal
604009,Sebastolobus alascanus,Demersal
604011,Trachyscorpia cristulata cristulata,Demersal
604140,Scorpaenichthys marmoratus,Demersal
604215,Citharichthys sordidus,Demersal
604228,Paralichthys californicus,Demersal
604237,Eopsetta jordani,Demersal
604238,Glyptocephalus zachirus,Demersal
604239,Hippoglossoides platessoides,Demersal
604247,Microstomus pacificus,Demersal
604248,Parophrys vetula,Demersal
604249,Platichthys stellatus,Demersal
